ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783330238,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330241,iotprojectmpc-n8n-1,4.02%,447MiB,2.355GiB,18.54%
1783330241,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330246,iotprojectmpc-n8n-1,4.33%,447.4MiB,2.355GiB,18.56%
1783330246,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330250,iotprojectmpc-n8n-1,3.70%,447.2MiB,2.355GiB,18.55%
1783330250,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330255,iotprojectmpc-n8n-1,2.96%,447.2MiB,2.355GiB,18.55%
1783330255,iotprojectmpc-postgres-1,1.04%,60.5MiB,2.355GiB,2.51%
1783330259,iotprojectmpc-n8n-1,4.07%,447MiB,2.355GiB,18.54%
1783330259,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330263,iotprojectmpc-n8n-1,4.45%,447MiB,2.355GiB,18.54%
1783330263,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330268,iotprojectmpc-n8n-1,3.96%,447.1MiB,2.355GiB,18.54%
1783330268,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330272,iotprojectmpc-n8n-1,4.29%,447.3MiB,2.355GiB,18.55%
1783330272,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330277,iotprojectmpc-n8n-1,5.32%,447.2MiB,2.355GiB,18.55%
1783330277,iotprojectmpc-postgres-1,0.01%,60.51MiB,2.355GiB,2.51%
1783330280,iotprojectmpc-n8n-1,4.16%,447.6MiB,2.355GiB,18.56%
1783330280,iotprojectmpc-postgres-1,1.20%,60.5MiB,2.355GiB,2.51%
1783330284,iotprojectmpc-n8n-1,4.29%,447.2MiB,2.355GiB,18.55%
1783330284,iotprojectmpc-postgres-1,1.95%,60.51MiB,2.355GiB,2.51%
1783330289,iotprojectmpc-n8n-1,3.89%,447.1MiB,2.355GiB,18.54%
1783330289,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330292,iotprojectmpc-n8n-1,4.38%,447.6MiB,2.355GiB,18.56%
1783330292,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330297,iotprojectmpc-n8n-1,6.80%,447.6MiB,2.355GiB,18.56%
1783330297,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330301,iotprojectmpc-n8n-1,3.59%,447.1MiB,2.355GiB,18.54%
1783330301,iotprojectmpc-postgres-1,0.00%,60.55MiB,2.355GiB,2.51%
1783330305,iotprojectmpc-n8n-1,6.33%,447.2MiB,2.355GiB,18.55%
1783330305,iotprojectmpc-postgres-1,0.89%,60.5MiB,2.355GiB,2.51%
1783330308,iotprojectmpc-n8n-1,5.79%,447.2MiB,2.355GiB,18.55%
1783330308,iotprojectmpc-postgres-1,0.01%,60.5MiB,2.355GiB,2.51%
1783330312,iotprojectmpc-n8n-1,5.37%,447.3MiB,2.355GiB,18.55%
1783330312,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330317,iotprojectmpc-n8n-1,3.72%,447.4MiB,2.355GiB,18.56%
1783330317,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330321,iotprojectmpc-n8n-1,4.71%,447.4MiB,2.355GiB,18.56%
1783330321,iotprojectmpc-postgres-1,1.72%,60.5MiB,2.355GiB,2.51%
1783330326,iotprojectmpc-n8n-1,3.17%,447.6MiB,2.355GiB,18.56%
1783330326,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330330,iotprojectmpc-n8n-1,5.05%,447.4MiB,2.355GiB,18.56%
1783330330,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330335,iotprojectmpc-n8n-1,4.07%,447.6MiB,2.355GiB,18.56%
1783330335,iotprojectmpc-postgres-1,0.03%,60.5MiB,2.355GiB,2.51%
1783330339,iotprojectmpc-n8n-1,6.44%,447.3MiB,2.355GiB,18.55%
1783330339,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330344,iotprojectmpc-n8n-1,7.81%,447.3MiB,2.355GiB,18.55%
1783330344,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330349,iotprojectmpc-n8n-1,7.62%,447.5MiB,2.355GiB,18.56%
1783330349,iotprojectmpc-postgres-1,0.03%,60.51MiB,2.355GiB,2.51%
1783330353,iotprojectmpc-n8n-1,5.31%,447.3MiB,2.355GiB,18.55%
1783330353,iotprojectmpc-postgres-1,0.00%,60.52MiB,2.355GiB,2.51%
1783330357,iotprojectmpc-n8n-1,7.39%,447.4MiB,2.355GiB,18.56%
1783330357,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330361,iotprojectmpc-n8n-1,6.35%,447.5MiB,2.355GiB,18.56%
1783330361,iotprojectmpc-postgres-1,2.53%,60.5MiB,2.355GiB,2.51%
1783330366,iotprojectmpc-n8n-1,4.72%,447.3MiB,2.355GiB,18.55%
1783330366,iotprojectmpc-postgres-1,2.77%,60.51MiB,2.355GiB,2.51%
1783330370,iotprojectmpc-n8n-1,4.19%,447.4MiB,2.355GiB,18.56%
1783330370,iotprojectmpc-postgres-1,0.04%,60.5MiB,2.355GiB,2.51%
1783330374,iotprojectmpc-n8n-1,3.11%,447.5MiB,2.355GiB,18.56%
1783330374,iotprojectmpc-postgres-1,0.04%,60.5MiB,2.355GiB,2.51%
1783330379,iotprojectmpc-n8n-1,4.04%,447.7MiB,2.355GiB,18.57%
1783330379,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330383,iotprojectmpc-n8n-1,3.67%,447.6MiB,2.355GiB,18.56%
1783330383,iotprojectmpc-postgres-1,0.90%,60.62MiB,2.355GiB,2.51%
1783330388,iotprojectmpc-n8n-1,4.08%,447.5MiB,2.355GiB,18.56%
1783330388,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
