ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783367902,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783367905,iotprojectmpc-n8n-1,2.24%,420.9MiB,2.355GiB,17.46%
1783367905,iotprojectmpc-postgres-1,0.67%,32.91MiB,2.355GiB,1.36%
1783367910,iotprojectmpc-n8n-1,9.21%,420.7MiB,2.355GiB,17.45%
1783367910,iotprojectmpc-postgres-1,2.64%,32.66MiB,2.355GiB,1.35%
1783367914,iotprojectmpc-n8n-1,6.09%,420.8MiB,2.355GiB,17.45%
1783367914,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783367918,iotprojectmpc-n8n-1,1.06%,421MiB,2.355GiB,17.46%
1783367918,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367923,iotprojectmpc-n8n-1,2.85%,421MiB,2.355GiB,17.46%
1783367923,iotprojectmpc-postgres-1,2.28%,32.66MiB,2.355GiB,1.35%
1783367926,iotprojectmpc-n8n-1,2.58%,421.4MiB,2.355GiB,17.48%
1783367926,iotprojectmpc-postgres-1,0.03%,34.44MiB,2.355GiB,1.43%
1783367931,iotprojectmpc-n8n-1,4.40%,421.1MiB,2.355GiB,17.47%
1783367931,iotprojectmpc-postgres-1,0.03%,34.45MiB,2.355GiB,1.43%
1783367936,iotprojectmpc-n8n-1,1.46%,421.4MiB,2.355GiB,17.48%
1783367936,iotprojectmpc-postgres-1,0.06%,32.66MiB,2.355GiB,1.35%
1783367940,iotprojectmpc-n8n-1,0.70%,421.4MiB,2.355GiB,17.48%
1783367940,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367945,iotprojectmpc-n8n-1,2.38%,421.2MiB,2.355GiB,17.47%
1783367945,iotprojectmpc-postgres-1,3.11%,33MiB,2.355GiB,1.37%
1783367949,iotprojectmpc-n8n-1,4.33%,421.4MiB,2.355GiB,17.48%
1783367949,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367953,iotprojectmpc-n8n-1,1.84%,421.3MiB,2.355GiB,17.47%
1783367953,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783367958,iotprojectmpc-n8n-1,23.61%,421.4MiB,2.355GiB,17.48%
1783367958,iotprojectmpc-postgres-1,0.04%,34.44MiB,2.355GiB,1.43%
1783367963,iotprojectmpc-n8n-1,0.23%,421.5MiB,2.355GiB,17.48%
1783367963,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783367968,iotprojectmpc-n8n-1,1.04%,421.5MiB,2.355GiB,17.48%
1783367968,iotprojectmpc-postgres-1,0.07%,32.67MiB,2.355GiB,1.35%
1783367972,iotprojectmpc-n8n-1,0.24%,421.2MiB,2.355GiB,17.47%
1783367972,iotprojectmpc-postgres-1,0.01%,32.66MiB,2.355GiB,1.35%
1783367977,iotprojectmpc-n8n-1,0.53%,421.5MiB,2.355GiB,17.48%
1783367977,iotprojectmpc-postgres-1,0.04%,32.66MiB,2.355GiB,1.35%
1783367981,iotprojectmpc-n8n-1,0.14%,421.2MiB,2.355GiB,17.47%
1783367981,iotprojectmpc-postgres-1,0.72%,32.66MiB,2.355GiB,1.35%
1783367986,iotprojectmpc-n8n-1,0.12%,421.2MiB,2.355GiB,17.47%
1783367986,iotprojectmpc-postgres-1,1.54%,32.66MiB,2.355GiB,1.35%
1783367991,iotprojectmpc-n8n-1,2.50%,421.6MiB,2.355GiB,17.48%
1783367991,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367995,iotprojectmpc-n8n-1,1.09%,421.3MiB,2.355GiB,17.47%
1783367995,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368000,iotprojectmpc-n8n-1,1.64%,421.5MiB,2.355GiB,17.48%
1783368000,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368004,iotprojectmpc-n8n-1,1.46%,421.3MiB,2.355GiB,17.47%
1783368004,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368009,iotprojectmpc-n8n-1,2.08%,421.5MiB,2.355GiB,17.48%
1783368009,iotprojectmpc-postgres-1,0.05%,32.66MiB,2.355GiB,1.35%
1783368014,iotprojectmpc-n8n-1,1.45%,421.5MiB,2.355GiB,17.48%
1783368014,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368018,iotprojectmpc-n8n-1,70.23%,455.7MiB,2.355GiB,18.90%
1783368018,iotprojectmpc-postgres-1,1.98%,34.44MiB,2.355GiB,1.43%
