ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783331804,iotprojectmpc-n8n-1,1.91%,420.8MiB,2.355GiB,17.45%
1783331804,iotprojectmpc-postgres-1,0.01%,62.36MiB,2.355GiB,2.59%
1783331808,iotprojectmpc-n8n-1,7.35%,421.2MiB,2.355GiB,17.47%
1783331808,iotprojectmpc-postgres-1,0.03%,62.36MiB,2.355GiB,2.59%
1783331812,iotprojectmpc-n8n-1,4.36%,421.1MiB,2.355GiB,17.46%
1783331812,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331817,iotprojectmpc-n8n-1,1.84%,421.1MiB,2.355GiB,17.47%
1783331817,iotprojectmpc-postgres-1,3.84%,60.61MiB,2.355GiB,2.51%
1783331820,iotprojectmpc-n8n-1,2.25%,421.1MiB,2.355GiB,17.46%
1783331820,iotprojectmpc-postgres-1,0.07%,60.61MiB,2.355GiB,2.51%
1783331824,iotprojectmpc-n8n-1,1.48%,421.1MiB,2.355GiB,17.47%
1783331824,iotprojectmpc-postgres-1,3.10%,60.62MiB,2.355GiB,2.51%
1783331829,iotprojectmpc-n8n-1,1.99%,421MiB,2.355GiB,17.46%
1783331829,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331834,iotprojectmpc-n8n-1,2.09%,421.2MiB,2.355GiB,17.47%
1783331834,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331838,iotprojectmpc-n8n-1,1.02%,422.8MiB,2.355GiB,17.53%
1783331838,iotprojectmpc-postgres-1,4.71%,62.36MiB,2.355GiB,2.59%
1783331842,iotprojectmpc-n8n-1,3.29%,422.8MiB,2.355GiB,17.53%
1783331842,iotprojectmpc-postgres-1,0.03%,62.35MiB,2.355GiB,2.59%
1783331847,iotprojectmpc-n8n-1,137.37%,422.2MiB,2.355GiB,17.51%
1783331847,iotprojectmpc-postgres-1,4.22%,60.63MiB,2.355GiB,2.51%
1783331851,iotprojectmpc-n8n-1,2.58%,422.1MiB,2.355GiB,17.51%
1783331851,iotprojectmpc-postgres-1,3.29%,60.62MiB,2.355GiB,2.51%
1783331856,iotprojectmpc-n8n-1,0.38%,422.1MiB,2.355GiB,17.51%
1783331856,iotprojectmpc-postgres-1,0.00%,60.62MiB,2.355GiB,2.51%
1783331860,iotprojectmpc-n8n-1,2.36%,422.1MiB,2.355GiB,17.51%
1783331860,iotprojectmpc-postgres-1,0.06%,60.61MiB,2.355GiB,2.51%
1783331865,iotprojectmpc-n8n-1,51.78%,450.4MiB,2.355GiB,18.68%
1783331865,iotprojectmpc-postgres-1,1.11%,60.62MiB,2.355GiB,2.51%
