ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783374483,iotprojectmpc-n8n-1,0.23%,424.8MiB,2.355GiB,17.62%
1783374483,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783374487,iotprojectmpc-n8n-1,0.15%,425MiB,2.355GiB,17.63%
1783374487,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783374492,iotprojectmpc-n8n-1,0.27%,425MiB,2.355GiB,17.63%
1783374492,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783374496,iotprojectmpc-n8n-1,0.16%,425MiB,2.355GiB,17.63%
1783374496,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374501,iotprojectmpc-n8n-1,0.93%,425MiB,2.355GiB,17.63%
1783374501,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374505,iotprojectmpc-n8n-1,3.46%,424.8MiB,2.355GiB,17.62%
1783374505,iotprojectmpc-postgres-1,0.73%,32.82MiB,2.355GiB,1.36%
1783374509,iotprojectmpc-n8n-1,1.06%,425MiB,2.355GiB,17.63%
1783374509,iotprojectmpc-postgres-1,2.58%,32.71MiB,2.355GiB,1.36%
1783374514,iotprojectmpc-n8n-1,1.49%,425MiB,2.355GiB,17.63%
1783374514,iotprojectmpc-postgres-1,1.99%,32.71MiB,2.355GiB,1.36%
1783374518,iotprojectmpc-n8n-1,1.37%,425MiB,2.355GiB,17.63%
1783374518,iotprojectmpc-postgres-1,2.05%,32.74MiB,2.355GiB,1.36%
1783374523,iotprojectmpc-n8n-1,1.26%,424.8MiB,2.355GiB,17.62%
1783374523,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374527,iotprojectmpc-n8n-1,1.05%,424.8MiB,2.355GiB,17.62%
1783374527,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374532,iotprojectmpc-n8n-1,2.83%,425.3MiB,2.355GiB,17.64%
1783374532,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
